,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Delhi to Shimla,HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,INR 612,40 Seats available,3.5
1,Delhi to Shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,INR 512,19 Seats available,4.2
2,Delhi to Shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 512,27 Seats available,2.0
3,Delhi to Shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 507,15 Seats available,4.0
4,Delhi to Shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 892,11 Seats available,3.8
5,Delhi to Shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 507,27 Seats available,4.2
6,Delhi to Shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 507,24 Seats available,4.5
7,Delhi to Shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 892,23 Seats available,4.4
8,Delhi to Shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,INR 507,37 Seats available,3.6
9,Delhi to Shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,INR 867,28 Seats available,3.9
10,Delhi to Shimla,HRTC - 591,A/C Executive (2+3),21:36,05:30,07h 54m,INR 622,41 Seats available,4.1
11,Delhi to Shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,INR 507,27 Seats available,3.4
12,Delhi to Shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,INR 892,30 Seats available,4.6
13,Delhi to Shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,INR 867,17 Seats available,4.1
14,Delhi to Shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,INR 507,27 Seats available,4.1
15,Delhi to Shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,INR 892,23 Seats available,4.3
16,Delhi to Shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:05,09h 25m,INR 507,37 Seats available,4.6
17,Delhi to Shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,08:00,09h 00m,450,27 Seats available,4.8
18,Delhi to Shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,474,20 Seats available,4.5
19,Delhi to Shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:25,07:35,08h 10m,555,45 Seats available,4.5
20,Delhi to Shimla,AdCity Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,07:25,07h 30m,495,44 Seats available,3.6
21,Delhi to Shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,474,44 Seats available,4.4
22,Delhi to Shimla,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:55,07:25,08h 30m,445,19 Seats available,4.3
23,Delhi to Shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,07:40,09h 50m,648,39 Seats available,4.1
24,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,06:00,07h 30m,INR 500,27 Seats available,3.3
25,Delhi to Shimla,FlixBus,A/C Seater (2+2),23:55,08:35,08h 40m,INR 600,22 Seats available,3.6
26,Delhi to Shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,07:30,10h 30m,INR 1500,33 Seats available,2.0
27,Delhi to Shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,INR 1399,22 Seats available,1.7
28,Shimla to Delhi,HRTC - 103,Ordinary 3+2 Non AC Seater,17:18,02:15,08h 57m,INR 507,37 Seats available,4.2
29,Shimla to Delhi,HRTC - 104,A/C Executive (2+3),18:20,04:30,10h 10m,INR 622,44 Seats available,2.7
30,Shimla to Delhi,HRTC - 188,Ordinary 3+2 Non AC Seater,19:25,04:57,09h 32m,INR 507,27 Seats available,4.2
31,Shimla to Delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00,05:00,09h 00m,INR 892,26 Seats available,4.5
32,Shimla to Delhi,HRTC - 1711,Ordinary 3+2 Non AC Seater,20:00,05:30,09h 30m,INR 507,36 Seats available,4.2
33,Shimla to Delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,06:00,09h 00m,INR 892,24 Seats available,4.6
34,Shimla to Delhi,HRTC - 108,A/C Executive (2+3),21:20,06:52,09h 32m,INR 622,44 Seats available,3.3
35,Shimla to Delhi,HRTC - 1712,Ordinary 3+2 Non AC Seater,21:30,06:00,08h 30m,INR 507,27 Seats available,4.2
36,Shimla to Delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30,06:00,08h 30m,INR 892,23 Seats available,4.1
37,Shimla to Delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,06:15,08h 30m,INR 507,37 Seats available,4.5
38,Shimla to Delhi,HRTC - 179,Ordinary 3+2 Non AC Seater,22:00,06:30,08h 30m,INR 507,27 Seats available,3.4
39,Shimla to Delhi,HRTC - 35,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:15,08h 15m,INR 892,16 Seats available,4.6
40,Shimla to Delhi,HRTC - 136,Ordinary 3+2 Non AC Seater,22:30,06:30,08h 00m,INR 507,27 Seats available,2.3
41,Shimla to Delhi,HRTC - 92,Himsuta AC Seater Volvo/Scania 2+2,22:30,07:00,08h 30m,INR 892,14 Seats available,4.6
42,Shimla to Delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,02:00,09h 30m,INR 1103,33 Seats available,3.8
43,Shimla to Delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,05:30,08h 00m,531,25 Seats available,4.7
44,Shimla to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,569,19 Seats available,4.4
45,Shimla to Delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:55,06:35,08h 40m,648,26 Seats available,4.4
46,Shimla to Delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),20:30,04:35,08h 05m,534,27 Seats available,4.3
47,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,05:00,07h 00m,INR 500,37 Seats available,3.8
48,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,05:30,07h 00m,INR 500,35 Seats available,3.9
49,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),21:00,04:25,07h 25m,495,36 Seats available,3.6
50,Shimla to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),23:00,07:00,08h 00m,495,28 Seats available,2.9
51,Shimla to Delhi,FlixBus,A/C Seater (2+2),20:00,05:00,09h 00m,INR 619,19 Seats available,4.6
52,Manali to Chandigarh,HRTC - 724,Ordinary 3+2 Non AC Seater,14:20,23:55,09h 35m,INR 567,37 Seats available,3.9
53,Manali to Chandigarh,HRTC - 707,A/C Executive (2+3),14:58,01:20,10h 22m,INR 580,42 Seats available,1.8
54,Manali to Chandigarh,HRTC - 776,Ordinary 3+2 Non AC Seater,15:24,23:30,08h 06m,INR 565,37 Seats available,1.7
55,Manali to Chandigarh,HRTC - 801,Ordinary 3+2 Non AC Seater,15:45,00:15,08h 30m,INR 549,37 Seats available,3.9
56,Manali to Chandigarh,HRTC - 11,Himsuta AC Seater Volvo/Scania 2+2,16:00,00:01,08h 01m,INR 920,35 Seats available,3.9
57,Manali to Chandigarh,HRTC - 754,Ordinary 3+2 Non AC Seater,16:15,03:00,10h 45m,INR 544,37 Seats available,3.9
58,Manali to Chandigarh,HRTC - 49,Himsuta AC Seater Volvo/Scania 2+2,16:30,02:00,09h 30m,INR 938,35 Seats available,3.6
59,Manali to Chandigarh,HRTC - 788,Ordinary 3+2 Non AC Seater,16:40,03:30,10h 50m,INR 545,33 Seats available,3.9
60,Manali to Chandigarh,HRTC - 736,Himsuta AC Seater Volvo/Scania 2+2,17:00,01:00,08h 00m,INR 920,35 Seats available,5.0
61,Manali to Chandigarh,HRTC - 705,Himsuta AC Seater Volvo/Scania 2+2,18:00,02:00,08h 00m,INR 920,12 Seats available,3.9
62,Manali to Chandigarh,HRTC - 214001,Himsuta AC Seater Volvo/Scania 2+2,19:00,02:20,07h 20m,INR 920,28 Seats available,3.9
63,Manali to Chandigarh,HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,20:00,04:10,08h 10m,INR 938,31 Seats available,3.9
64,Manali to Chandigarh,HRTC - 737,Ordinary 3+2 Non AC Seater,20:10,05:00,08h 50m,INR 555,37 Seats available,2.3
65,Manali to Chandigarh,HRTC - 803,Ordinary 3+2 Non AC Seater,20:30,06:00,09h 30m,INR 549,37 Seats available,3.0
66,Manali to Chandigarh,HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,21:00,04:20,07h 20m,INR 920,34 Seats available,3.8
67,Manali to Chandigarh,HRTC - 701,Ordinary 3+2 Non AC Seater,21:30,05:30,08h 00m,INR 560,37 Seats available,3.9
68,Manali to Chandigarh,HRTC - 713,Himsuta AC Seater Volvo/Scania 2+2,22:00,06:00,08h 00m,INR 920,31 Seats available,3.7
69,Manali to Chandigarh,HRTC - 65,Himsuta AC Seater Volvo/Scania 2+2,22:30,05:45,07h 15m,INR 943,34 Seats available,3.9
70,Manali to Chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),16:00,23:00,07h 00m,569,6 Seats available,4.6
