,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Vijayawada to Hyderabad,APSRTC - 9356,Super Luxury (Non AC Seater 2+2 Push Back),11:30,18:05,06h 35m,INR 436,33 Seats available,4.0
1,Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30,16:30,05h 00m,INR 670,33 Seats available,3.6
2,Vijayawada to Hyderabad,APSRTC - 3601,Super Luxury (Non AC Seater 2+2 Push Back),12:00,20:20,08h 20m,INR 469,33 Seats available,2.5
3,Vijayawada to Hyderabad,APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,18:25,06h 10m,INR 720,36 Seats available,3.6
4,Vijayawada to Hyderabad,APSRTC - 3515,Super Luxury (Non AC Seater 2+2 Push Back),12:30,20:05,07h 35m,INR 469,31 Seats available,2.0
5,Vijayawada to Hyderabad,APSRTC - 3823,Super Luxury (Non AC Seater 2+2 Push Back),12:45,19:43,06h 58m,INR 469,30 Seats available,4.0
6,Vijayawada to Hyderabad,APSRTC - 3562,Super Luxury (Non AC Seater 2+2 Push Back),12:45,19:25,06h 40m,INR 436,33 Seats available,2.7
7,Vijayawada to Hyderabad,APSRTC - 35117,INDRA(A.C. Seater),13:00,19:09,06h 09m,INR 567,31 Seats available,3.7
8,Vijayawada to Hyderabad,APSRTC - 3549,Super Luxury (Non AC Seater 2+2 Push Back),13:15,20:00,06h 45m,INR 436,32 Seats available,4.5
9,Vijayawada to Hyderabad,APSRTC - 21228,Super Luxury (Non AC Seater 2+2 Push Back),13:30,18:30,05h 00m,INR 436,26 Seats available,4.0
10,Vijayawada to Hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:04,06h 04m,INR 720,39 Seats available,4.1
11,Vijayawada to Hyderabad,APSRTC - 3825,Super Luxury (Non AC Seater 2+2 Push Back),14:00,20:40,06h 40m,INR 469,34 Seats available,2.8
12,Vijayawada to Hyderabad,APSRTC - 4052,Super Luxury (Non AC Seater 2+2 Push Back),14:00,20:40,06h 40m,INR 436,31 Seats available,3.8
13,Vijayawada to Hyderabad,APSRTC - 23545,INDRA(A.C. Seater),14:15,18:00,03h 45m,INR 528,35 Seats available,3.1
14,Vijayawada to Hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:30,06h 00m,INR 720,28 Seats available,3.8
15,Vijayawada to Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,INR 670,44 Seats available,4.2
16,Vijayawada to Hyderabad,APSRTC - 3525,Super Luxury (Non AC Seater 2+2 Push Back),15:00,23:00,08h 00m,INR 469,33 Seats available,3.7
17,Vijayawada to Hyderabad,APSRTC - 35061,Super Luxury (Non AC Seater 2+2 Push Back),15:15,23:15,08h 00m,INR 469,21 Seats available,4.0
18,Vijayawada to Hyderabad,APSRTC - 99611,Super Luxury (Non AC Seater 2+2 Push Back),15:20,19:50,04h 30m,INR 436,12 Seats available,4.0
19,Vijayawada to Hyderabad,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:30,21:25,05h 55m,INR 720,35 Seats available,4.0
20,Vijayawada to Hyderabad,APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,INR 567,35 Seats available,3.1
21,Vijayawada to Hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,22:25,05h 55m,INR 720,42 Seats available,4.4
22,Vijayawada to Hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,INR 720,45 Seats available,3.3
23,Vijayawada to Hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,23:37,05h 52m,INR 720,44 Seats available,4.3
24,Vijayawada to Hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,00:30,06h 00m,INR 720,47 Seats available,3.9
25,Vijayawada to Hyderabad,APSRTC - 3613,Super Luxury (Non AC Seater 2+2 Push Back),19:00,02:42,07h 42m,INR 469,30 Seats available,3.1
26,Vijayawada to Hyderabad,APSRTC - 23507,INDRA(A.C. Seater),19:00,23:00,04h 00m,INR 528,13 Seats available,2.5
27,Vijayawada to Hyderabad,APSRTC - 9316,Super Luxury (Non AC Seater 2+2 Push Back),20:20,04:10,07h 50m,INR 469,25 Seats available,4.1
28,Vijayawada to Hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:05,04h 35m,INR 670,30 Seats available,3.8
29,Vijayawada to Hyderabad,APSRTC - 9651,Super Luxury (Non AC Seater 2+2 Push Back),21:00,04:41,07h 41m,INR 469,25 Seats available,4.0
30,Vijayawada to Hyderabad,APSRTC - 4046,Super Luxury (Non AC Seater 2+2 Push Back),21:00,03:40,06h 40m,INR 469,31 Seats available,4.4
31,Vijayawada to Hyderabad,APSRTC - 9932,STAR LINER(NON-AC SLEEPER 2+1),21:30,03:45,06h 15m,INR 607,20 Seats available,3.2
32,Vijayawada to Hyderabad,APSRTC - 9654,Super Luxury (Non AC Seater 2+2 Push Back),21:40,05:20,07h 40m,INR 469,26 Seats available,3.0
33,Vijayawada to Hyderabad,APSRTC - 40568,Super Luxury (Non AC Seater 2+2 Push Back),21:42,06:00,08h 18m,INR 469,25 Seats available,4.7
34,Vijayawada to Hyderabad,APSRTC - 3916,Super Luxury (Non AC Seater 2+2 Push Back),21:45,02:50,05h 05m,INR 436,26 Seats available,4.1
35,Vijayawada to Hyderabad,APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,02:20,04h 35m,INR 781,13 Seats available,4.6
36,Vijayawada to Hyderabad,APSRTC - 38201,Super Luxury (Non AC Seater 2+2 Push Back),21:52,04:00,06h 08m,INR 469,24 Seats available,4.0
37,Vijayawada to Hyderabad,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,03:42,05h 42m,INR 720,44 Seats available,3.9
38,Vijayawada to Hyderabad,APSRTC - 4320,INDRA(A.C. Seater),22:00,04:25,06h 25m,INR 567,22 Seats available,3.0
39,Vijayawada to Hyderabad,APSRTC - 4048,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:20,06h 20m,INR 469,21 Seats available,4.4
40,Vijayawada to Hyderabad,APSRTC - 3908,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:25,06h 25m,INR 469,23 Seats available,3.6
41,Vijayawada to Hyderabad,APSRTC - 3970,Super Luxury (Non AC Seater 2+2 Push Back),22:05,05:20,07h 15m,INR 469,21 Seats available,4.0
42,Vijayawada to Hyderabad,APSRTC - 35118,INDRA(A.C. Seater),22:05,04:50,06h 45m,INR 567,29 Seats available,3.9
43,Vijayawada to Hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,04:40,06h 25m,INR 720,35 Seats available,4.0
44,Vijayawada to Hyderabad,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),22:15,05:30,07h 15m,INR 607,21 Seats available,4.9
45,Vijayawada to Hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,02:50,04h 35m,INR 781,23 Seats available,3.5
46,Vijayawada to Hyderabad,APSRTC - 3635,Super Luxury (Non AC Seater 2+2 Push Back),22:20,04:55,06h 35m,INR 469,18 Seats available,4.0
47,Vijayawada to Hyderabad,APSRTC - 3943,Super Luxury (Non AC Seater 2+2 Push Back),22:25,05:25,07h 00m,INR 469,27 Seats available,3.6
48,Vijayawada to Hyderabad,APSRTC - 35063,Super Luxury (Non AC Seater 2+2 Push Back),22:25,06:10,07h 45m,INR 469,30 Seats available,4.4
49,Vijayawada to Hyderabad,APSRTC - 3910,INDRA(A.C. Seater),22:30,03:05,04h 35m,INR 528,25 Seats available,3.7
50,Vijayawada to Hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,04:25,05h 55m,INR 565,20 Seats available,4.4
51,Vijayawada to Hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,04:10,05h 40m,INR 720,34 Seats available,4.2
52,Vijayawada to Hyderabad,APSRTC - 95660,Super Luxury (Non AC Seater 2+2 Push Back),22:40,05:15,06h 35m,INR 446,31 Seats available,2.2
53,Vijayawada to Hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,04:16,05h 31m,INR 565,28 Seats available,4.1
54,Vijayawada to Hyderabad,APSRTC - 3509,INDRA(A.C. Seater),22:45,04:59,06h 14m,INR 567,33 Seats available,4.2
55,Vijayawada to Hyderabad,APSRTC - 3609,Super Luxury (Non AC Seater 2+2 Push Back),22:46,06:40,07h 54m,INR 469,31 Seats available,4.2
56,Vijayawada to Hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,05:35,06h 40m,INR 639,31 Seats available,3.9
57,Vijayawada to Hyderabad,APSRTC - 3694,Super Luxury (Non AC Seater 2+2 Push Back),22:55,06:15,07h 20m,INR 469,18 Seats available,4.6
58,Vijayawada to Hyderabad,APSRTC - 3961,INDRA(A.C. Seater),22:55,05:25,06h 30m,INR 567,35 Seats available,3.6
59,Vijayawada to Hyderabad,APSRTC - 3968,INDRA(A.C. Seater),22:55,05:05,06h 10m,INR 567,23 Seats available,2.6
60,Vijayawada to Hyderabad,APSRTC - 3533,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05:25,06h 25m,INR 436,31 Seats available,4.0
61,Vijayawada to Hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,03:35,04h 35m,INR 781,5 Seats available,4.3
62,Vijayawada to Hyderabad,APSRTC - 3900,Super Luxury (Non AC Seater 2+2 Push Back),23:00,04:20,05h 20m,INR 469,11 Seats available,4.4
63,Vijayawada to Hyderabad,APSRTC - 3569,INDRA(A.C. Seater),23:00,03:46,04h 46m,INR 567,36 Seats available,4.2
64,Vijayawada to Hyderabad,APSRTC - 4893,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05:20,06h 20m,INR 469,30 Seats available,4.6
65,Vijayawada to Hyderabad,APSRTC - 3278,VENNELA (A.C. SLEEPER),23:05,04:25,05h 20m,INR 839,17 Seats available,3.9
66,Vijayawada to Hyderabad,APSRTC - 4790,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:05,05:20,06h 15m,INR 720,31 Seats available,4.6
67,Vijayawada to Hyderabad,APSRTC - 3976,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05:50,06h 35m,INR 469,11 Seats available,2.2
68,Vijayawada to Hyderabad,APSRTC - 2785,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05:07,05h 52m,INR 469,33 Seats available,3.7
69,Vijayawada to Hyderabad,APSRTC - 4352,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05:30,06h 15m,INR 436,17 Seats available,4.0
70,Vijayawada to Hyderabad,APSRTC - 3690,INDRA(A.C. Seater),23:16,06:00,06h 44m,INR 567,36 Seats available,3.9
71,Vijayawada to Hyderabad,APSRTC - 3951,Super Luxury (Non AC Seater 2+2 Push Back),23:25,06:10,06h 45m,INR 436,16 Seats available,4.4
72,Vijayawada to Hyderabad,APSRTC - 23702,Super Luxury (Non AC Seater 2+2 Push Back),23:30,04:30,05h 00m,INR 436,34 Seats available,4.0
73,Vijayawada to Hyderabad,APSRTC - 3545,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30,05:35,06h 05m,INR 720,47 Seats available,4.3
74,Vijayawada to Hyderabad,APSRTC - 4354,Super Luxury (Non AC Seater 2+2 Push Back),23:30,05:44,06h 14m,INR 469,14 Seats available,3.9
75,Vijayawada to Hyderabad,APSRTC - 4995,INDRA(A.C. Seater),23:30,05:40,06h 10m,INR 567,38 Seats available,4.4
76,Vijayawada to Hyderabad,APSRTC - 4178,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:40,05:35,05h 55m,INR 720,45 Seats available,4.5
77,Vijayawada to Hyderabad,APSRTC - 4814,Super Luxury (Non AC Seater 2+2 Push Back),23:40,05:10,05h 30m,INR 469,33 Seats available,4.9
78,Vijayawada to Hyderabad,APSRTC - 3057,VENNELA (A.C. SLEEPER),23:45,04:45,05h 00m,INR 781,25 Seats available,4.0
79,Vijayawada to Hyderabad,APSRTC - 3535,VENNELA (A.C. SLEEPER),23:50,05:25,05h 35m,INR 839,13 Seats available,3.6
80,Vijayawada to Hyderabad,APSRTC - 4879,Super Luxury (Non AC Seater 2+2 Push Back),23:55,06:25,06h 30m,INR 469,34 Seats available,2.9
81,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 443,33 Seats available,4.6
82,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,05:20,06h 50m,450,34 Seats available,4.6
83,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:30,04:05,06h 35m,450,21 Seats available,4.6
84,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:40,18:35,06h 55m,450,28 Seats available,4.7
85,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),12:30,17:40,05h 10m,450,34 Seats available,4.7
86,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,23:05,06h 45m,450,32 Seats available,4.6
87,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06:25,07h 00m,INR 456,27 Seats available,4.5
88,Vijayawada to Hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:40,06:30,06h 50m,INR 666,22 Seats available,4.6
89,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),10:20,16:40,06h 20m,450,35 Seats available,4.6
90,Vijayawada to Hyderabad,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:55,06h 10m,INR 409,33 Seats available,4.6
91,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,00:05,06h 35m,450,36 Seats available,4.5
92,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),10:25,17:00,06h 35m,332,32 Seats available,4.5
93,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,06:10,06h 20m,INR 463,22 Seats available,4.5
94,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,05:45,06h 45m,INR 431,34 Seats available,4.6
95,Vijayawada to Hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,05:45,07h 15m,827,23 Seats available,4.5
96,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),21:50,04:05,06h 15m,332,32 Seats available,4.4
97,Vijayawada to Hyderabad,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:20,05:55,06h 35m,INR 595,26 Seats available,4.5
98,Vijayawada to Hyderabad,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,06:30,07h 30m,421,15 Seats available,4.3
99,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),22:35,05:10,06h 35m,379,23 Seats available,4.4
100,Vijayawada to Hyderabad,Svkdt travels,A/C Sleeper (2+1),23:20,06:14,06h 54m,INR 667,23 Seats available,4.4
101,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),16:00,22:42,06h 42m,384,30 Seats available,4.3
102,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,05:55,06h 30m,450,21 Seats available,4.5
103,Vijayawada to Hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:45,05:35,05h 50m,INR 743,20 Seats available,4.3
104,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),10:35,18:00,07h 25m,332,26 Seats available,4.2
105,Vijayawada to Hyderabad,Yolo Bus,A/C Seater / Sleeper (2+1),23:24,05:43,06h 19m,INR 450,25 Seats available,4.2
106,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:00,18:10,07h 10m,450,33 Seats available,4.5
107,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),22:30,06:00,07h 30m,379,26 Seats available,4.1
108,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),14:35,22:00,07h 25m,379,12 Seats available,4.1
109,Vijayawada to Hyderabad,BSR Tours And Travels,VE A/C Sleeper (2+1),23:50,06:15,06h 25m,INR 880,9 Seats available,4.6
110,Vijayawada to Hyderabad,NueGo,Electric A/C Seater (2+2),11:35,19:00,07h 25m,332,25 Seats available,4.1
