,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Tezpur to Guwahati,Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,20:00,04h 15m,INR 298,1 Seat available,4.3
1,Tezpur to Guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,03:30,06h 00m,INR 400,11 Seats available,3.2
2,Tezpur to Guwahati,Himalayan Travels,NON A/C Seater (2+2),23:40,04:00,04h 20m,450,24 Seats available,2.2
3,Tezpur to Guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,03:45,05h 30m,INR 550,21 Seats available,3.7
4,Guwahati to Tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:00,18:40,03h 40m,INR 360,23 Seats available,4.6
5,Guwahati to Tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:35,19:15,03h 40m,INR 360,30 Seats available,4.1
6,Guwahati to Tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,19:40,03h 25m,INR 360,17 Seats available,4.2
7,Guwahati to Tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:00,23:30,05h 30m,400,33 Seats available,3.6
8,Guwahati to Tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,00:00,04h 00m,400,25 Seats available,4.3
9,Guwahati to Tezpur,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,18 Seats available,3.3
10,Guwahati to Tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:15,01:15,04h 00m,INR 450,24 Seats available,3.1
11,Guwahati to Tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,02:00,04h 15m,INR 450,24 Seats available,3.9
12,Guwahati to Tezpur,Kalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,342,43 Seats available,2.1
13,Guwahati to Tezpur,Brindaban Travels,Non AC Seater (2+2),17:15,21:15,04h 00m,INR 375,35 Seats available,1.8
14,Guwahati to Tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,01:15,05h 15m,INR 500,22 Seats available,2.5
15,Guwahati to Tezpur,Himalayan Travels,NON AC Seater / Sleeper 2+1,20:30,02:30,06h 00m,450,31 Seats available,No rating
16,Guwahati to Tezpur,KIRAN TRAVELS,A/C Seater (2+1),20:40,00:30,03h 50m,540,18 Seats available,3.1
17,Guwahati to Tezpur,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,02:30,05h 00m,INR 600,13 Seats available,4.1
18,Nagaon (Assam) to Guwahati,Christina Travels,NON A/C Seater (2+2),16:00,18:20,02h 20m,650,33 Seats available,2.8
19,Guwahati to Nagaon (Assam),Pranjit Travels (Under ASTC),NON A/C Seater (2+1),20:45,23:30,02h 45m,INR 300,26 Seats available,3.1
