,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,450,4 Seats available,3.4
1,Patna (Bihar) to Bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,INR 550,54 Seats available,3.5
2,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,405,27 Seats available,3.2
3,Patna (Bihar) to Bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,INR 350,60 Seats available,2.7
4,Gopalganj (Bihar) to Delhi,ROYAL TRAVELS AND CARGO,A/C Seater / Sleeper (2+2),17:30,08:30,15h 00m,INR 1696,13 Seats available,2.4
5,Gopalganj (Bihar) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,10:50,14h 30m,2312,38 Seats available,1.9
6,Gopalganj (Bihar) to Delhi,Armaan Tour & Travels,A/C Seater / Sleeper (2+1),16:50,13:00,20h 10m,2124,13 Seats available,2.5
7,Gopalganj (Bihar) to Delhi,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,14:30,18h 30m,INR 1899,72 Seats available,1.3
8,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),17:30,09:00,15h 30m,2249,16 Seats available,1.2
9,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,08:00,13h 45m,2249,14 Seats available,1.2
10,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,08:10,13h 55m,2249,30 Seats available,1.2
11,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),17:35,08:30,14h 55m,2249,14 Seats available,1.2
12,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),18:00,08:00,14h 00m,2249,14 Seats available,1.2
13,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),17:40,08:30,14h 50m,2249,14 Seats available,1.2
14,Gopalganj (Bihar) to Delhi,New Travel India,A/C Seater / Sleeper (2+1),18:05,08:00,13h 55m,2249,14 Seats available,1.2
15,Gopalganj (Bihar) to Delhi,Rajdhani Express,A/C Seater / Sleeper (2+2),16:00,09:00,17h 00m,INR 1899,15 Seats available,1.0
16,Patna (Bihar) to Motihari,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,01:00,03h 40m,INR 230,32 Seats available,3.6
17,Patna (Bihar) to Motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,INR 550,54 Seats available,4.5
18,Patna (Bihar) to Motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,INR 550,54 Seats available,3.6
19,Patna (Bihar) to Motihari,Panwar Travels,A/C Seater / Sleeper (2+1),18:10,21:35,03h 25m,768,28 Seats available,2.8
20,Patna (Bihar) to Motihari,Shree Balajee Travels And Cargo,A/C Sleeper (2+1),19:20,22:50,03h 30m,INR 1199,16 Seats available,1.3
21,Patna (Bihar) to Motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,23:30,03h 02m,450,4 Seats available,1.1
22,Delhi to Motihari,Bihar state road transport corporation (BSRTC) - 117806,Volvo AC Seater 2+2,17:00,10:00,17h 00m,1148,41 Seats available,3.8
23,Delhi to Motihari,Rajdhani Express,A/C Seater / Sleeper (2+2),15:50,10:00,18h 10m,INR 1999,26 Seats available,1.1
24,Delhi to Motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),16:00,08:01,16h 01m,1572,46 Seats available,1.4
25,Bettiah to Patna (Bihar),Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:55,05:31,07h 36m,INR 550,40 Seats available,2.3
26,Bettiah to Patna (Bihar),Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,05:00,07h 00m,450,10 Seats available,2.2
27,Motihari to Delhi,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
28,Patna (Bihar) to Balmiki Nagar (bihar),Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,06:00,09h 32m,450,4 Seats available,3.3
29,Patna (Bihar) to Balmiki Nagar (bihar),Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,07:00,08h 20m,405,26 Seats available,3.0
30,Balmiki Nagar (bihar) to Patna (Bihar),Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),18:30,05:00,10h 30m,450,10 Seats available,2.3
31,Patna (Bihar) to Kathmandu,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
32,Patna (Bihar) to Katihar,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,06:30,09h 05m,INR 468,34 Seats available,3.3
33,Patna (Bihar) to Katihar,SOBHA TRAVELS (A.T),A/C Seater / Sleeper (2+1),20:40,05:00,08h 20m,540,22 Seats available,2.5
34,Patna (Bihar) to Katihar,Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:40,05:45,09h 05m,675,24 Seats available,1.8
35,Patna (Bihar) to Purnea,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,05:40,08h 15m,INR 468,35 Seats available,3.4
36,Patna (Bihar) to Purnea,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),21:25,06:20,08h 55m,INR 600,13 Seats available,4.4
37,Patna (Bihar) to Purnea,AITIANA CRUISELINERS,A/C Seater / Sleeper (2+1),21:15,06:15,09h 00m,INR 600,8 Seats available,4.1
38,Patna (Bihar) to Purnea,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,06:35,08h 25m,INR 650,5 Seats available,4.4
39,Patna (Bihar) to Purnea,AITIANA CRUISELINERS,Bharat Benz A/C Seater /Sleeper (2+1),20:20,05:30,09h 10m,INR 500,16 Seats available,3.9
40,Patna (Bihar) to Purnea,Divya Rath,A/C Sleeper (2+1),20:45,05:45,09h 00m,601,8 Seats available,4.1
41,Patna (Bihar) to Purnea,Sadhvi Rath,A/C Seater / Sleeper (2+1),20:20,06:20,10h 00m,495,31 Seats available,3.3
42,Patna (Bihar) to Purnea,Raj Bus Services,A/C Seater / Sleeper (2+1),19:25,05:05,09h 40m,450,13 Seats available,4.0
