,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Chandigarh to Delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,21:15,02:00,04h 45m,INR 676,37 Seats available,3.2
1,Chandigarh to Delhi,RSRTC - 166269,Express Non AC Seater 2+3,22:00,05:55,07h 55m,INR 320,41 Seats available,3.7
2,Chandigarh to Delhi,RSRTC - 166262,Express Non AC Seater 2+3,22:30,04:25,05h 55m,INR 320,42 Seats available,3.7
3,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),16:00,21:10,05h 10m,562,2 Seats available,3.5
4,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),16:30,21:55,05h 25m,356,7 Seats available,3.7
5,Chandigarh to Delhi,FlixBus,A/C Seater (2+2),17:00,23:05,06h 05m,INR 342,18 Seats available,3.7
6,Chandigarh to Delhi,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),17:15,23:20,06h 05m,INR 599,22 Seats available,3.6
7,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),17:30,22:55,05h 25m,356,35 Seats available,4.2
8,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),18:30,23:55,05h 25m,356,28 Seats available,4.2
9,Chandigarh to Delhi,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),19:40,00:45,05h 05m,499,38 Seats available,3.7
10,Chandigarh to Delhi,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),19:45,00:45,05h 00m,499,40 Seats available,3.7
11,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),20:00,01:20,05h 20m,356,32 Seats available,4.1
12,Chandigarh to Delhi,Orbit Aviation Pvt. Ltd.,Mercedes Multi-Axle Semi Sleeper (2+2),20:25,00:45,04h 20m,499,43 Seats available,3.7
13,Chandigarh to Delhi,Khurana Bus Service,Volvo A/C (2+2),21:10,02:40,05h 30m,400,34 Seats available,4.0
14,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),22:00,03:15,05h 15m,356,37 Seats available,4.3
15,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),23:00,04:15,05h 15m,372,30 Seats available,3.9
16,Chandigarh to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:00,04:30,05h 30m,569,18 Seats available,4.4
17,Chandigarh to Delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:35,04:30,04h 55m,474,18 Seats available,4.8
18,Chandigarh to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),23:40,04:45,05h 05m,INR 350,17 Seats available,4.6
19,Chandigarh to Delhi,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),23:45,04:35,04h 50m,534,22 Seats available,4.7
20,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),23:45,05:00,05h 15m,477,17 Seats available,4.0
21,Chandigarh to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),23:45,04:25,04h 40m,INR 488,36 Seats available,3.0
22,Chandigarh to Delhi,Jyoti Bus Services,Bharat Benz A/C Semi Sleeper (2+2),18:00,22:30,04h 30m,800,40 Seats available,No rating
23,Chandigarh to Delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),18:50,23:45,04h 55m,INR 400,17 Seats available,1.7
24,Chandigarh to Delhi,Khurana Bus Service,Volvo A/C (2+2),20:50,02:40,05h 50m,340,33 Seats available,2.9
25,Chandigarh to Delhi,Reo India Travels,Volvo A/C Semi Sleeper (2+2),23:59,04:20,04h 21m,567,21 Seats available,2.9
