,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jammu (j and k) to Srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,07:15,10h 00m,719,36 Seats available,1.4
1,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,02:30,10h 00m,INR 699,40 Seats available,1.0
2,Jammu (j and k) to Srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,06:00,09h 30m,552,44 Seats available,1.0
3,Jammu (j and k) to Srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,08:00,10h 30m,508,29 Seats available,2.3
4,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,03:15,10h 00m,INR 699,38 Seats available,1.0
5,Delhi to Srinagar,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
6,Srinagar to Jammu (j and k),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
7,Jammu (j and k) to Haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,09:30,12h 40m,698,26 Seats available,4.5
8,Jammu (j and k) to Haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,08:55,12h 55m,INR 900,11 Seats available,4.3
9,Jammu (j and k) to Haridwar,City Land Travels,A/C Sleeper (2+1),20:30,09:00,12h 30m,585,23 Seats available,3.4
10,Jammu (j and k) to Haridwar,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:40,05:00,12h 20m,INR 800,25 Seats available,4.3
11,Jammu (j and k) to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,09:10,13h 00m,548,31 Seats available,4.6
12,Jammu (j and k) to Delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,07:45,11h 45m,INR 678,7 Seats available,4.6
13,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,09:00,11h 30m,803,11 Seats available,4.6
14,Jammu (j and k) to Delhi,AdFlixBus,A/C Sleeper (2+1),20:00,08:20,12h 20m,INR 815,5 Seats available,4.7
15,Jammu (j and k) to Delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,08:00,11h 45m,1126,7 Seats available,4.5
16,Jammu (j and k) to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:45,07:35,10h 50m,569,30 Seats available,4.6
17,Jammu (j and k) to Delhi,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),20:15,07:30,11h 15m,796,5 Seats available,4.5
18,Jammu (j and k) to Delhi,AdLaxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,06:00,11h 15m,1045,4 Seats available,4.3
19,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:30,08:15,11h 45m,603,17 Seats available,4.4
20,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,08:30,11h 15m,944,6 Seats available,4.4
21,Jammu (j and k) to Delhi,IntrCity SmartBus,AC Sleeper (2+1),20:50,08:30,11h 40m,INR 951,8 Seats available,4.3
22,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:35,05:30,11h 55m,528,12 Seats available,4.3
23,Jammu (j and k) to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),18:00,06:00,12h 00m,INR 833,2 Seats available,4.3
24,Jammu (j and k) to Delhi,Zingbus Plus,A/C Sleeper (2+1),21:15,09:40,12h 25m,767,26 Seats available,4.9
25,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:00,07:00,12h 00m,603,20 Seats available,3.9
26,Jammu (j and k) to Delhi,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),20:30,08:30,12h 00m,554,18 Seats available,4.1
27,Jammu (j and k) to Delhi,Jamna Travels-Jammu,A/C Seater / Sleeper (2+2),20:30,08:00,11h 30m,INR 949,30 Seats available,1.9
28,Jammu (j and k) to Delhi,IntrCity SmartBus,AC Sleeper (2+1),20:45,08:25,11h 40m,INR 803,20 Seats available,4.9
29,Jammu (j and k) to Delhi,B S Holiday Travels,A/C Seater / Sleeper (2+2),22:10,09:00,10h 50m,599,36 Seats available,5.0
30,Jammu (j and k) to Delhi,DS Hari Travels,A/C Seater / Sleeper (2+2),21:30,09:15,11h 45m,INR 499,30 Seats available,3.0
31,Jammu (j and k) to Delhi,FlixBus,A/C Sleeper (2+1),22:30,11:05,12h 35m,INR 700,8 Seats available,4.5
32,Jammu (j and k) to Delhi,RK Holiday,A/C Seater / Sleeper (2+2),20:45,08:25,11h 40m,1899,30 Seats available,2.9
33,Jammu (j and k) to Delhi,Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),21:00,10:26,13h 26m,INR 699,24 Seats available,2.5
34,Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),23:00,10:00,11h 00m,INR 1299,32 Seats available,1.4
35,Jammu (j and k) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),17:16,05:46,12h 30m,1017,46 Seats available,1.4
36,Jammu (j and k) to Delhi,Gola Bus Service,VE A/C Seater (2+2),20:20,07:50,11h 30m,INR 3499,18 Seats available,4.7
37,Jammu (j and k) to Delhi,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),22:30,08:30,10h 00m,899,34 Seats available,1.2
38,Jammu (j and k) to Delhi,Shub Yatra Holidays,A/C Sleeper (2+2),21:15,10:00,12h 45m,INR 1049,12 Seats available,2.0
39,Jammu (j and k) to Delhi,Shiv Mohan Travels,AC Sleeper (2+1),20:30,08:30,12h 00m,890,36 Seats available,3.7
40,Jammu (j and k) to Delhi,Lucky Bus Service,VE A/C Sleeper (2+2),21:15,07:15,10h 00m,INR 1599,32 Seats available,3.6
41,Jammu (j and k) to Delhi,Apex Bus Travels,A/C Seater / Sleeper (2+2),20:00,10:00,14h 00m,1849,52 Seats available,3.0
42,Jammu (j and k) to Delhi,Ashok Travels,A/C Seater / Sleeper (2+2),17:30,06:00,12h 30m,INR 1195,52 Seats available,2.5
43,Jammu (j and k) to Delhi,SHAH HOLIDAY TRAVEL,Bharat Benz A/C Seater / Sleeper (2+2),21:00,08:00,11h 00m,INR 1499,22 Seats available,2.5
44,Jammu (j and k) to Delhi,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),20:45,08:15,11h 30m,INR 3000,47 Seats available,2.3
45,Jammu (j and k) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:00,08:15,12h 15m,1202,46 Seats available,1.7
46,Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),18:30,05:30,11h 00m,INR 1199,28 Seats available,1.4
47,Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),21:00,08:00,11h 00m,INR 1299,34 Seats available,1.4
48,Jammu (j and k) to Delhi,Sahiba Travels India Sahiba Bus Service Regd,A/C Sleeper (2+2),21:30,09:31,12h 01m,INR 1800,22 Seats available,1.0
49,Delhi to Jammu (j and k),Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:00,09:00,13h 00m,INR 399,23 Seats available,4.8
50,Delhi to Jammu (j and k),Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,10:15,12h 45m,950,25 Seats available,4.6
51,Delhi to Jammu (j and k),IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),19:40,08:15,12h 35m,INR 425,24 Seats available,4.6
52,Delhi to Jammu (j and k),AdFlixBus,A/C Sleeper (2+1),21:00,10:35,13h 35m,INR 767,10 Seats available,5.0
53,Delhi to Jammu (j and k),Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),18:30,06:25,11h 55m,509,23 Seats available,4.6
54,Delhi to Jammu (j and k),Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:00,12h 30m,950,20 Seats available,4.4
55,Delhi to Jammu (j and k),Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,06:50,10h 20m,488,30 Seats available,4.3
56,Delhi to Jammu (j and k),AdB S Holiday Travels,A/C Seater / Sleeper (2+2),22:30,11:00,12h 30m,599,37 Seats available,4.2
57,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,06:00,13h 00m,508,18 Seats available,4.3
58,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,11:30,13h 00m,803,19 Seats available,4.3
59,Delhi to Jammu (j and k),R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),18:30,08:10,13h 40m,513,28 Seats available,4.4
60,Delhi to Jammu (j and k),IntrCity SmartBus,AC Sleeper (2+1),20:45,09:30,12h 45m,INR 607,26 Seats available,4.3
61,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:00,10:00,13h 00m,522,36 Seats available,4.1
62,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:00,11:00,13h 00m,760,15 Seats available,4.2
63,Delhi to Jammu (j and k),IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:10,09:40,12h 30m,INR 425,17 Seats available,4.6
64,Delhi to Jammu (j and k),Travel Point,A/C Seater / Sleeper (2+2),22:30,11:15,12h 45m,723,50 Seats available,3.7
65,Delhi to Jammu (j and k),Travel Point,A/C Seater / Sleeper (2+2),18:00,07:15,13h 15m,528,44 Seats available,3.7
66,Delhi to Jammu (j and k),Goel Tourist (Regd),A/C Seater / Sleeper (2+2),17:30,06:30,13h 00m,463,31 Seats available,3.9
67,Delhi to Jammu (j and k),Vaishnoyatra services pvt ltd,A/C Seater / Sleeper (2+2),22:00,09:30,11h 30m,INR 650,25 Seats available,No rating
68,Delhi to Jammu (j and k),Vaishnoyatra services pvt ltd,A/C Seater / Sleeper (2+2),20:30,08:15,11h 45m,INR 550,24 Seats available,No rating
69,Delhi to Jammu (j and k),CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),17:00,05:00,12h 00m,539,38 Seats available,No rating
70,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:00,07:00,13h 00m,740,22 Seats available,4.1
71,Delhi to Jammu (j and k),RK Holiday,A/C Seater / Sleeper (2+2),17:35,06:20,12h 45m,474,35 Seats available,3.4
72,Delhi to Jammu (j and k),Ashok Bus Service,VE A/C Seater / Sleeper (2+1),18:45,08:15,13h 30m,1479,40 Seats available,4.2
73,Delhi to Jammu (j and k),Lavish Travels,A/C Seater / Sleeper (2+2),18:15,08:15,14h 00m,468,32 Seats available,3.5
74,Delhi to Jammu (j and k),Goel Tourist (Regd),A/C Seater / Sleeper (2+2),20:50,09:00,12h 10m,729,44 Seats available,3.6
75,Delhi to Jammu (j and k),Big Bus,A/C Seater / Sleeper (2+2),17:35,05:35,12h 00m,INR 590,38 Seats available,2.7
76,Delhi to Jammu (j and k),Ashok Bus Service,A/C Seater / Sleeper (2+2),21:45,10:30,12h 45m,647,52 Seats available,2.9
77,Delhi to Jammu (j and k),Ashok Bus Service,A/C Seater / Sleeper (2+2),23:55,11:45,11h 50m,INR 699,50 Seats available,1.8
78,Delhi to Jammu (j and k),Shub Yatra Holidays,A/C Sleeper (2+2),22:45,11:00,12h 15m,INR 749,40 Seats available,2.8
