,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Pune to Goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1000,6 Seats available,3.6
1,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 599,8 Seats available,4.5
2,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 599,8 Seats available,4.5
3,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,INR 649,10 Seats available,4.5
4,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 750,19 Seats available,4.4
5,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,641,7 Seats available,4.4
6,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 400,33 Seats available,4.5
7,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,INR 399,13 Seats available,4.4
8,Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,INR 850,25 Seats available,4.2
9,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:45,06:45,11h 00m,INR 550,10 Seats available,4.2
10,Pune to Goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,06:30,10h 15m,INR 910,11 Seats available,4.2
11,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),21:05,07:00,09h 55m,INR 650,14 Seats available,4.0
12,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:55,08:20,10h 25m,INR 599,10 Seats available,3.9
13,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),22:50,09:30,10h 40m,INR 1250,19 Seats available,3.9
14,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,09:30,11h 15m,INR 1120,19 Seats available,4.0
15,Pune to Goa,Ashray National Express,NON A/C Sleeper (2+1),20:00,06:45,10h 45m,INR 550,6 Seats available,4.2
