,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Bangalore to Kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,22:50,08h 35m,INR 627,4 Seats available,4.2
1,Bangalore to Kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,INR 620,22 Seats available,4.3
2,Bangalore to Kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,22:20,06h 55m,INR 729,5 Seats available,2.2
3,Bangalore to Kozhikode,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,INR 567,10 Seats available,2.8
4,Bangalore to Kozhikode,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,INR 640,22 Seats available,3.3
5,Bangalore to Kozhikode,KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,INR 640,3 Seats available,2.0
6,Bangalore to Kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,INR 640,39 Seats available,4.4
7,Bangalore to Kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,INR 473,32 Seats available,3.6
8,Bangalore to Kozhikode,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 640,24 Seats available,3.8
9,Bangalore to Kozhikode,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,INR 640,25 Seats available,3.4
10,Bangalore to Kozhikode,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,INR 627,7 Seats available,3.9
11,Bangalore to Kozhikode,KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,INR 469,32 Seats available,3.9
12,Bangalore to Kozhikode,KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:35,10h 05m,INR 469,17 Seats available,3.5
13,Bangalore to Kozhikode,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,INR 627,28 Seats available,3.8
14,Bangalore to Kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 700,27 Seats available,4.4
15,Bangalore to Kozhikode,SAAM BUS,Bharat Benz A/C Sleeper (2+1),20:10,06:45,10h 35m,808,16 Seats available,4.4
16,Bangalore to Kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,INR 700,24 Seats available,4.2
17,Bangalore to Kozhikode,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,INR 699,32 Seats available,3.9
18,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 950,21 Seats available,4.3
19,Kozhikode to Ernakulam,KSRTC (Kerala) - 256,Super Fast Non AC Seater (2+3),13:30,18:36,05h 06m,INR 230,17 Seats available,2.2
20,Kozhikode to Ernakulam,KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,20:00,06h 10m,INR 209,34 Seats available,3.0
21,Kozhikode to Ernakulam,KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,21:15,05h 35m,INR 269,31 Seats available,1.8
22,Kozhikode to Ernakulam,KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,22:40,05h 15m,INR 269,16 Seats available,3.0
23,Kozhikode to Ernakulam,KSRTC (Kerala) - 503,Super Express Non AC Seater Air Bus (2+2),17:42,22:00,04h 18m,INR 309,10 Seats available,3.1
24,Kozhikode to Ernakulam,KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,22:50,04h 50m,INR 309,8 Seats available,1.7
25,Kozhikode to Ernakulam,KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,23:44,05h 14m,INR 383,1 Seat available,3.3
26,Kozhikode to Ernakulam,KSRTC (Kerala) - 467,Super Express Non AC Seater Air Bus (2+2),19:55,00:35,04h 40m,INR 309,5 Seats available,1.2
