,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jodhpur to Ajmer,RSRTC - 190572,Express Non AC Seater 2+3,16:15,21:00,04h 45m,INR 229,42 Seats available,4.2
1,Jodhpur to Ajmer,RSRTC - 175650,Super Luxury Volvo AC Seater Pushback 2+2,16:30,20:30,04h 00m,INR 460,27 Seats available,4.0
2,Jodhpur to Ajmer,RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,17:30,21:30,04h 00m,INR 460,34 Seats available,4.1
3,Jodhpur to Ajmer,RSRTC - 190951,Express Non AC Seater 2+3,18:00,22:30,04h 30m,INR 229,42 Seats available,4.2
4,Jodhpur to Ajmer,RSRTC - 193481,Express Non AC Seater 2+3,18:30,23:00,04h 30m,INR 229,42 Seats available,4.2
5,Jodhpur to Ajmer,RSRTC - 187140,NON AC Seater / Sleeper 2+1,19:30,23:30,04h 00m,INR 302,37 Seats available,4.5
6,Jodhpur to Ajmer,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,23:45,03h 45m,INR 460,36 Seats available,4.4
7,Jodhpur to Ajmer,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 302,37 Seats available,4.2
8,Jodhpur to Ajmer,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,INR 458,30 Seats available,2.8
9,Jodhpur to Ajmer,RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,INR 302,32 Seats available,4.1
10,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,15:30,20:30,05h 00m,INR 350,34 Seats available,3.1
11,Jodhpur to Ajmer,Jain travels regd,NON A/C Sleeper (2+1),16:00,21:10,05h 10m,INR 700,30 Seats available,3.1
12,Jodhpur to Ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,22:55,05h 55m,INR 330,42 Seats available,3.1
13,Jodhpur to Ajmer,B R Travels,AC Sleeper (2+1),18:30,23:00,04h 30m,INR 600,24 Seats available,4.0
14,Jodhpur to Ajmer,V k jain travels,NON A/C Sleeper (2+1),18:35,23:25,04h 50m,INR 480,27 Seats available,3.0
15,Jodhpur to Ajmer,FlixBus,A/C Sleeper (2+1),19:00,23:50,04h 50m,INR 149,19 Seats available,5.0
16,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,04h 50m,INR 330,39 Seats available,3.1
17,Jodhpur to Ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),19:00,23:36,04h 36m,INR 330,32 Seats available,3.1
