,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Khammam to Hyderabad,TSRTC - 8681,RAJADHANI AC (CONVERTED METRO LUXURY),13:00,17:00,04h 00m,INR 389,32 Seats available,2.9
1,Khammam to Hyderabad,TSRTC - 8617,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:20,17:30,04h 10m,INR 320,28 Seats available,4.9
2,Khammam to Hyderabad,TSRTC - 8736,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,17:50,04h 20m,INR 320,31 Seats available,2.3
3,Khammam to Hyderabad,TSRTC - 8977,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:50,17:45,03h 55m,INR 320,31 Seats available,4.6
4,Khammam to Hyderabad,TSRTC - 64020,RAJDHANI (A.C. Semi Sleeper),14:00,18:00,04h 00m,INR 389,18 Seats available,3.5
5,Khammam to Hyderabad,TSRTC - 64863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,18:30,04h 20m,INR 320,31 Seats available,3.8
6,Khammam to Hyderabad,TSRTC - 8974,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:40,18:30,03h 50m,INR 320,31 Seats available,2.7
7,Khammam to Hyderabad,TSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,20:00,05h 00m,INR 389,17 Seats available,4.0
8,Khammam to Hyderabad,TSRTC - 8969,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,19:30,04h 15m,INR 320,23 Seats available,4.1
9,Khammam to Hyderabad,TSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),15:20,19:30,04h 10m,INR 389,24 Seats available,3.4
10,Khammam to Hyderabad,TSRTC - 1319,Lahari A/C sleeper,17:10,20:45,03h 35m,INR 389,10 Seats available,3.6
11,Khammam to Hyderabad,TSRTC - 8613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,21:30,04h 10m,INR 320,12 Seats available,4.0
12,Khammam to Hyderabad,TSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:40,21:40,04h 00m,INR 389,30 Seats available,4.1
